export_value,balance_value
10048,1739
2890,12816
2086,-151719
0,7
0,599
17,60
0,-5
2120,-40924
8052,-55455
5965,-128921
2709,-24071
114,-239371
4585,-1999344
256,-165944
0,-63284
0,-20
0,-4306
34,34
282,-2209
14,14
7,-596
5,-95
117,56
374,-119
0,-452
264584,-65062
0,-895
35,-4709
340,-18254
0,-432
0,-196
231,-17595
0,-2611
0,-5537
0,-2825
28,-815
1,-6041
152,-8678
88,-94118
38,-15910
201,-578924
0,-115869
0,-1850617
109,-37297
1693,-132484
3628,-105945
3951,-2342144
0,-6631
0,-51533
0,-4055
0,-1777
0,-200283
243,-358913
0,-658646
28,-1719861
0,-305903
0,-32758
1111,-347535
0,-220452
0,-499564
860,-12803
0,-230833
0,-524453
1694,-78296
0,-2451
54,-135199
0,-1615
0,-28474
2,2
1129,-71500
0,-2213
0,-11188
105,-19290
0,-197
0,-1741
0,-22554
2032,-45571
52,52
0,-711
0,-6143
0,-2772
0,-58
0,-338608
1242,-6791407
0,-14107
5887,-3715182
0,-16768
0,-382543
0,-11403
0,-76923
0,-4049
0,-66281
0,-9480
0,-9356
64,-59618
0,-26
138,-34787
211,211
0,-234
5,-92
0,-1465
0,-96
26,-739
0,-105
0,-13755
0,-51
0,-3704
0,-128
0,3592
0,-5369
0,-1680
0,-19400
2899,-99771
652,652
0,38
0,-6901
0,-107440
0,-1192
0,-428
0,-98
0,-40
0,41
63,63
0,-4780
0,-1363
0,45
0,-144246
0,-65113
0,-2176
0,-322
0,-5420
0,-21539
0,-3368
0,-14946
0,-29
73,-2818
0,-5627
0,-808
131,-17447
0,3
0,-630
0,-45
0,-1256
0,-72
0,-12005
0,-11809
0,-1275
0,677
0,-6
0,-1395
117,-113134
0,-176
0,-786
0,-2639
0,-14147
0,-21
0,-479
0,-286
6971,-300096
93,-47215
0,-8172
0,-8291
0,-2878
0,-40247
0,-4962
0,-1449
0,-58
0,-898
0,-67391
368,-1856
0,-5168
0,3819
0,-799
0,-446
0,-10895
0,-603
0,-5037
0,41
0,1227
0,-6
0,-18244
0,-21397
0,-573
0,-13306
0,547
0,-302
0,-2732
0,-1387
0,-1638
0,-5117
0,-1182
0,-8426
0,-3250
0,-984
0,-15977
0,937
0,-19
62902,-353172
108,-45980
0,-459
0,-40707
945,-3153
0,-317
1261,-3592
0,-328
1689,-372640
0,-37
6112,-263007
25,-15186
0,-679
0,-32399
0,-56248
0,-998
4677,-13773
0,4672
58,576
122086,223278
0,-60
0,-9
0,-661
62586,-9259
18416,-146180
297099,-1160470
2635,-15359
5,-464
0,-9476
0,-82937
1689,-76335
24,-18471
0,-38
0,-47426
426,-13334
0,-21766
0,-21471
37376,-1402
5464,-4191
78919,-76178
0,27
0,-7406
0,-13
0,965
221,-2694
159468,115090
1917,-7442
995,-104265
11391,-5635
5476,-408292
7839,-165790
5105,-762107
8187,-138107
3548,-2201204
155690,-2105227
4898,-78178
6693,-51653
75172,-2661159
12701,-89304
23465,-1180339
0,-64768
17059,-242606
403,-96467
1826,-32700
